@relation day-of-week-./data/bris.dev

@attribute F0 {Brisbane}
@attribute F1 numeric
@attribute F2 numeric
@attribute F3 numeric
@attribute F4 numeric
@attribute F5 numeric
@attribute F6 numeric
@attribute F7 numeric
@attribute F8 numeric
@attribute F9 numeric
@attribute F10 numeric
@attribute F11 numeric
@attribute F12 numeric
@attribute F13 numeric
@attribute F14 numeric
@attribute F15 numeric
@attribute F16 numeric
@attribute F17 numeric
@attribute F18 numeric
@attribute F19 numeric
@attribute F20 numeric
@attribute F21 {Sat,Fri,Sun,Thu,Wed,Tue,Mon}

@data
Brisbane,1955,11,28,0,18.9,26.7,22.6,4.1,?,?,?,8000,40000,27000,10.6,15,13.5,?,?,?,Thu
Brisbane,1956,7,23,0,7.2,18.9,12.8,3.6,?,?,?,12000,60000,34250,1.7,6.1,4,?,?,?,Sat
Brisbane,1956,12,3,0,20.6,25,22.9,7.2,?,?,?,24000,45000,38000,15,21.1,18.1,?,?,?,Sat
Brisbane,1956,12,10,0,22.2,29.4,24.9,9.3,?,?,?,16000,60000,38250,20,22.2,21.2,?,?,?,Sat
Brisbane,1957,3,18,0,16.7,26.1,21.6,3.1,?,?,?,30000,70000,47500,10.6,15.6,13.9,?,?,?,Sat
Brisbane,1957,6,3,0,14.4,23.3,18.8,5.1,?,?,?,30000,60000,44375,9.4,13.9,12.3,?,?,?,Sat
Brisbane,1957,8,19,2,15,20.6,17.4,4.6,?,?,?,4000,40000,21875,11.7,15,13.4,?,?,?,Thu
Brisbane,1957,9,9,0,12.2,21.7,17,3.6,?,?,?,19000,45000,32250,7.8,11.1,9.7,?,?,?,Sat
Brisbane,1957,9,16,7,7.8,22.2,15.2,5.1,?,?,?,40000,60000,47857.1,1.1,5,3,?,?,?,Sat
Brisbane,1957,10,14,0,18.9,23.9,21.3,5.7,?,?,?,12000,24000,15750,10.6,18.3,15.8,?,?,?,Thu
Brisbane,1957,11,4,0,21.7,28.9,24.1,7.2,?,?,?,16000,70000,42750,18.3,20,19.1,?,?,?,Sat
Brisbane,1960,1,18,0,22.2,28.9,25.2,5.1,?,?,?,40000,40000,40000,17.2,18.9,18.3,?,?,?,Sat
Brisbane,1960,5,2,0,11.1,23.9,17.3,3.1,?,?,?,27000,60000,45500,8.9,11.1,9.7,?,?,?,Sat
Brisbane,1960,6,20,0,9.4,20,14.1,3.1,?,?,?,16000,40000,30500,7.8,10,9.4,?,?,?,Sat
Brisbane,1960,12,5,4,16.7,25.6,21.1,8.7,?,?,?,4800,45000,27725,13.3,15.6,14.1,?,?,?,Sat
Brisbane,1961,1,2,0,22.8,27.8,25.2,7.2,?,?,?,19000,55000,40500,17.2,20.6,18.7,?,?,?,Sat
Brisbane,1961,2,13,3.8,18.9,27.2,22.5,7.7,?,?,?,28000,40000,32875,13.3,18.3,16.2,?,?,?,Sat
Brisbane,1961,3,27,0,18.9,26.7,22.6,8.2,?,?,?,24000,45000,36125,16.7,18.3,17.5,?,?,?,Sat
Brisbane,1961,7,17,0,5,18.9,11.2,5.1,?,?,?,9000,45000,29625,0.6,5,2.9,?,?,?,Thu
Brisbane,1961,7,31,0,11.7,23.3,16.8,6.7,?,?,?,8000,45000,26875,6.1,14.4,11.1,?,?,?,Thu
Brisbane,1962,6,4,14,12.8,18.3,14.8,2.6,?,?,?,9000,45000,18375,10,12.8,11.5,?,?,?,Tue
Brisbane,1962,8,20,0,11.1,20,15.3,8.2,?,?,?,40000,70000,55625,2.8,7.2,5.3,?,?,?,Sat
Brisbane,1962,11,12,0,20,26.1,23.6,6.2,?,?,?,30000,45000,41250,16.7,21.1,19.5,?,?,?,Sat
Brisbane,1963,1,7,0,20.6,27.8,23.9,8.2,?,?,?,16000,30000,24875,15,17.8,16.6,?,?,?,Sat
Brisbane,1963,4,8,0.6,17.2,25.6,21.2,4.6,?,?,?,8000,40000,24375,16.7,17.8,17,?,?,?,Thu
Brisbane,1963,6,10,0,12.8,21.7,16.3,3.6,?,?,?,12000,45000,27875,11.1,15,12.8,?,?,?,Sat
Brisbane,1963,12,2,0.8,17.8,25.6,21.4,7.2,?,?,?,30000,45000,37500,13.9,16.1,15.3,?,?,?,Sat
Brisbane,1963,12,16,0,21.1,26.7,24.2,5.1,?,?,?,24000,40000,32250,17.8,19.4,19,?,?,?,Sat
Brisbane,1963,12,23,0,18.9,27.2,23,4.1,?,?,?,16000,55000,41375,15,17.8,16.3,?,?,?,Sat
Brisbane,1964,1,20,0,23.3,30,26.7,6.2,?,?,?,8000,40000,25000,20,22.8,21.8,?,?,?,Sat
Brisbane,1964,5,18,0.6,15.6,20,17.5,6.7,?,?,?,16000,24000,23000,14.4,17.8,15.3,?,?,?,Thu
Brisbane,1964,6,15,0,10,20,14.7,2.1,?,?,?,300,27000,14762.5,10,14.4,12.4,?,?,?,Tue
Brisbane,1964,9,7,0,16.1,23.9,19.8,5.7,?,?,?,9000,45000,31125,15,17.2,15.8,?,?,?,Thu
Brisbane,1964,10,5,0.3,17.2,24.4,20.3,6.2,?,?,?,11000,60000,32125,2.2,11.7,6.9,?,?,?,Sat
Brisbane,1964,10,26,0.3,14.4,21.1,17.9,6.2,?,?,?,16000,30000,27500,10,13.9,12.2,?,?,?,Thu
Brisbane,1965,2,1,0,18.9,26.7,23.1,8.2,?,?,?,30000,45000,35000,13.3,16.7,14.9,?,?,?,Sat
Brisbane,1965,3,22,0.6,19.4,27.2,23.2,7.7,?,?,?,24000,30000,25125,16.7,17.8,17.2,?,?,?,Sat
Brisbane,1965,10,11,0.9,15,21.7,18.6,7.2,?,?,?,27000,60000,34000,11.1,15,12.6,?,?,?,Sat
Brisbane,1966,1,10,0,20,27.2,23.4,8.2,?,?,?,40000,45000,43750,13.9,17.2,15.8,?,?,?,Sat
Brisbane,1966,1,24,0.6,20,26.1,22.4,9.3,?,?,?,30000,40000,35000,14.4,18.3,16,?,?,?,Sat
Brisbane,1966,2,14,0,23.9,31.7,27.4,6.2,?,?,?,30000,45000,38125,21.1,23.9,22.6,?,?,?,Sat
Brisbane,1966,2,21,0,21.7,28.3,25.1,4.1,?,?,?,16000,45000,35625,20,22.2,21.3,?,?,?,Sat
Brisbane,1966,4,4,0,20.6,28.3,24.3,7.2,?,?,?,16000,45000,28000,17.2,20.6,18.5,?,?,?,Sat
Brisbane,1966,5,16,0,15,23.9,19.1,3.1,?,?,?,16000,30000,22750,13.3,15.6,14.4,?,?,?,Sat
Brisbane,1966,6,20,0,10.6,22.8,15.3,1,?,?,?,9000,45000,26875,8.9,12.8,10.3,?,?,?,Tue
Brisbane,1966,6,27,0,11.1,21.7,15.6,4.1,?,?,?,3200,24000,17025,10.6,12.8,11.8,?,?,?,Thu
Brisbane,1966,8,8,4,11.7,16.7,14.4,2.1,?,?,?,12000,40000,27875,10.6,12.8,12.2,?,?,?,Tue
Brisbane,1966,9,19,0,14.4,22.2,18.5,5.1,?,?,?,12000,45000,30375,12.8,17.8,14.2,?,?,?,Thu
Brisbane,1966,10,10,0,12.8,26.1,18.5,4.6,?,?,?,16000,60000,42000,3.9,11.7,8.4,?,?,?,Sat
Brisbane,1966,11,7,168.1,20,23.9,21.4,6.2,?,?,?,800,27000,11725,18.9,21.7,20.2,?,?,?,Thu
Brisbane,1967,3,13,8,18.3,25,21.2,7.2,?,?,?,24000,45000,34250,15.6,18.9,17,?,?,?,Sat
Brisbane,1967,7,10,0,8.9,21.1,15.1,5.1,?,?,?,12000,45000,35875,5.6,16.1,10.2,?,?,?,Sat
Brisbane,1967,10,16,0,18.9,25.6,21.6,3.1,?,?,?,16000,30000,27500,15.6,17.2,16.6,?,?,?,Sat
Brisbane,1968,1,29,0,21.7,29.4,25.8,3.1,?,?,?,16000,40000,27625,18.9,21.1,20.2,?,?,?,Sat
Brisbane,1968,3,18,1.3,21.1,27.8,23.6,4.6,?,?,?,19000,30000,27875,18.9,21.1,20.4,?,?,?,Sat
Brisbane,1968,4,15,0,18.9,32.2,25.2,3.1,?,?,?,24000,45000,40500,12.2,20,16.7,?,?,?,Sat
Brisbane,1968,6,17,0,12.2,22.2,16,8.2,?,?,?,30000,40000,32500,5,8.9,6.8,?,?,?,Sat
Brisbane,1968,10,14,0,16.1,25.6,20.7,5.1,?,?,?,12000,55000,32125,13.3,15,14.2,?,?,?,Sat
Brisbane,1968,10,21,0,20,26.7,23.9,6.7,?,?,?,16000,27000,22571.4,15,20,17.5,?,?,?,Thu
Brisbane,1968,11,11,0,27.2,27.8,27.5,7.7,?,?,?,40000,40000,40000,20,20,20,?,?,?,Sat
Brisbane,1968,11,25,0,33.9,36.7,35.3,6.2,?,?,?,14000,24000,19000,4.4,15.6,10,?,?,?,Thu
Brisbane,1968,12,9,0,20.6,26.7,23.4,5.1,?,?,?,45000,55000,47500,14.4,17.2,16.2,?,?,?,Sat
Brisbane,1969,1,6,0,21.7,34.4,26.4,7.7,?,?,?,24000,45000,29375,12.8,21.7,18.4,?,?,?,Sat
Brisbane,1969,2,3,0,19.4,28.9,24.3,6.2,?,?,?,30000,40000,38750,15.6,16.7,16.2,?,?,?,Sat
Brisbane,1969,3,10,0,20,27.2,23.9,6.7,?,?,?,24000,45000,33625,16.1,18.9,18.1,?,?,?,Sat
Brisbane,1969,4,7,0,15.6,26.7,21.1,5.1,?,?,?,24000,45000,34875,12.2,15,13.7,?,?,?,Sat
Brisbane,1969,7,28,0,10,21.7,15,1,?,?,?,24000,40000,31500,8.3,12.2,10.1,?,?,?,Sat
Brisbane,1969,9,22,1,10.6,16.1,12.5,10.8,?,?,?,19000,60000,40750,2.2,7.8,4.1,?,?,?,Sat
Brisbane,1969,11,24,0,16.1,24.4,20.1,4.6,?,?,?,30000,45000,33750,11.7,14.4,13.2,?,?,?,Sat
Brisbane,1973,5,7,0,18,24,20.4,4.1,3600,3600,3600,30000,30000,30000,13,16,14.8,1017.6,1019.4,1018.4,Thu
Brisbane,1973,6,4,0,8,14,11.1,5.1,1200,22000,9900,11000,30000,23125,6,10,7.6,1012.8,1018.7,1015.8,Thu
Brisbane,1973,8,6,0,14,26,19.5,5.1,22000,22000,22000,4800,24000,18971.4,11,15,13.3,1017.9,1021.7,1020.3,Fri
Brisbane,1973,11,26,0,23,26,24.2,6.7,900,3600,2925,24000,30000,27000,20,22,21,1005.8,1008.7,1006.9,Thu
Brisbane,1974,4,29,0,15,27,21,4.1,22000,22000,22000,24000,50000,40666.7,14,17,15.7,1011.6,1013.8,1012.8,Sat
Brisbane,1974,5,6,0,17,22,18.6,2.6,3600,22000,12040,24000,30000,27000,16,18,16.6,1024.3,1027.7,1025.5,Tue
Brisbane,1974,5,27,0,11,20,16.2,1,22000,22000,22000,40000,50000,47500,9,11,9.7,1005.7,1010.1,1007.9,Sat
Brisbane,1975,2,17,0,19,26,23,10.3,750,22000,5391.7,24000,30000,29000,16,17,16.3,1016.7,1018.8,1017.7,Sat
Brisbane,1975,3,10,0,22,29,25,8.8,420,22000,13524,24000,30000,28800,19,21,20.2,1011.5,1014.7,1013.1,Sat
Brisbane,1975,5,5,0,17,21,18.6,5.1,750,22000,6710,24000,40000,30800,15,16,15.4,1021.9,1024.1,1022.8,Sat
